date,store_id,product_id,units_sold,net_sales,transaction_count,load_timestamp
2025-01-01,1,1,10,43800,3,2026-02-05 15:00:51.348097
2025-01-01,1,2,4,18732,2,2026-02-05 15:00:51.349227
2025-01-01,1,3,2,9272,2,2026-02-05 15:00:51.349227
2025-01-01,1,4,5,9095,1,2026-02-05 15:00:51.350229
2025-01-01,1,5,5,10580,2,2026-02-05 15:00:51.350229
2025-01-01,1,6,4,10452,2,2026-02-05 15:00:51.351232
2025-01-01,1,7,4,8432,1,2026-02-05 15:00:51.351232
2025-01-01,1,8,5,4260,5,2026-02-05 15:00:51.352231
2025-01-01,1,9,4,16060,1,2026-02-05 15:00:51.352231
2025-01-01,1,10,6,4026,2,2026-02-05 15:00:51.353227
2025-01-01,1,11,2,6474,1,2026-02-05 15:00:51.353227
2025-01-01,1,12,5,11580,2,2026-02-05 15:00:51.354444
2025-01-01,1,13,7,28994,2,2026-02-05 15:00:51.354444
2025-01-01,1,14,5,1990,2,2026-02-05 15:00:51.354444
2025-01-01,1,15,6,28782,6,2026-02-05 15:00:51.355440
2025-01-01,1,16,4,3024,2,2026-02-05 15:00:51.355440
2025-01-01,1,17,3,3579,1,2026-02-05 15:00:51.356441
2025-01-01,1,18,3,150,1,2026-02-05 15:00:51.356441
2025-01-01,1,19,10,21840,10,2026-02-05 15:00:51.357442
2025-01-01,1,20,6,14112,6,2026-02-05 15:00:51.357442
2025-01-01,1,21,4,5944,1,2026-02-05 15:00:51.358444
2025-01-01,1,22,5,895,2,2026-02-05 15:00:51.358444
2025-01-01,1,23,4,10996,1,2026-02-05 15:00:51.359444
2025-01-01,1,24,4,19768,4,2026-02-05 15:00:51.359444
2025-01-01,1,25,5,5345,2,2026-02-05 15:00:51.360444
2025-01-01,1,26,7,8232,2,2026-02-05 15:00:51.360444
2025-01-01,1,27,3,1080,3,2026-02-05 15:00:51.361444
2025-01-01,1,28,8,30784,2,2026-02-05 15:00:51.361444
2025-01-01,1,29,3,8772,3,2026-02-05 15:00:51.361444
2025-01-01,1,30,6,4254,6,2026-02-05 15:00:51.362443
2025-01-01,1,31,2,4760,1,2026-02-05 15:00:51.362443
2025-01-01,1,32,4,6772,2,2026-02-05 15:00:51.363444
2025-01-01,1,33,5,11420,2,2026-02-05 15:00:51.363444
2025-01-01,1,34,9,21906,3,2026-02-05 15:00:51.364476
2025-01-01,1,35,6,7458,6,2026-02-05 15:00:51.364476
2025-01-01,1,36,6,27408,3,2026-02-05 15:00:51.365444
2025-01-01,1,37,9,15966,3,2026-02-05 15:00:51.365444
2025-01-01,1,38,1,2578,1,2026-02-05 15:00:51.366462
2025-01-01,1,39,5,3160,2,2026-02-05 15:00:51.366462
2025-01-01,1,40,3,6213,3,2026-02-05 15:00:51.366462
2025-01-01,1,41,5,12595,2,2026-02-05 15:00:51.367443
2025-01-01,1,42,4,13520,2,2026-02-05 15:00:51.367443
2025-01-01,1,43,8,27656,8,2026-02-05 15:00:51.368463
2025-01-01,1,44,5,10710,2,2026-02-05 15:00:51.368463
2025-01-01,1,45,6,4050,6,2026-02-05 15:00:51.369444
2025-01-01,1,46,3,12405,3,2026-02-05 15:00:51.369444
2025-01-01,1,47,4,9476,2,2026-02-05 15:00:51.370442
2025-01-01,1,48,6,3390,6,2026-02-05 15:00:51.370442
2025-01-01,1,49,4,17712,1,2026-02-05 15:00:51.371444
2025-01-01,1,50,3,12381,1,2026-02-05 15:00:51.371444
2025-01-01,2,1,5,21900,1,2026-02-05 15:00:51.372443
2025-01-01,2,2,36,168588,18,2026-02-05 15:00:51.372443
2025-01-01,2,3,5,23180,1,2026-02-05 15:00:51.373460
2025-01-01,2,4,6,10914,2,2026-02-05 15:00:51.373460
2025-01-01,2,5,5,10580,2,2026-02-05 15:00:51.374465
2025-01-01,2,6,2,5226,1,2026-02-05 15:00:51.374465
2025-01-01,2,7,4,8432,1,2026-02-05 15:00:51.375444
2025-01-01,2,8,7,5964,3,2026-02-05 15:00:51.375444
2025-01-01,2,9,8,32120,2,2026-02-05 15:00:51.375444
2025-01-01,2,10,1,671,1,2026-02-05 15:00:51.376488
2025-01-01,2,11,2,6474,2,2026-02-05 15:00:51.376488
2025-01-01,2,12,5,11580,2,2026-02-05 15:00:51.377445
2025-01-01,2,13,2,8284,2,2026-02-05 15:00:51.377445
2025-01-01,2,14,3,1194,3,2026-02-05 15:00:51.378477
2025-01-01,2,15,4,19188,1,2026-02-05 15:00:51.378477
2025-01-01,2,16,30,22680,10,2026-02-05 15:00:51.379444
2025-01-01,2,17,5,5965,2,2026-02-05 15:00:51.380438
2025-01-01,2,18,6,300,2,2026-02-05 15:00:51.380438
2025-01-01,2,19,4,8736,4,2026-02-05 15:00:51.381440
2025-01-01,2,20,3,7056,3,2026-02-05 15:00:51.382441
2025-01-01,2,21,5,7430,5,2026-02-05 15:00:51.383452
2025-01-01,2,22,6,1074,2,2026-02-05 15:00:51.383452
2025-01-01,2,23,5,13745,5,2026-02-05 15:00:51.384466
2025-01-01,2,24,4,19768,1,2026-02-05 15:00:51.384466
2025-01-01,2,25,3,3207,1,2026-02-05 15:00:51.385466
2025-01-01,2,26,4,4704,1,2026-02-05 15:00:51.385466
2025-01-01,2,27,6,2160,3,2026-02-05 15:00:51.386437
2025-01-01,2,28,5,19240,2,2026-02-05 15:00:51.386437
2025-01-01,2,28,5,19240,2,2026-02-05 15:00:51.386437
2025-01-01,2,29,6,17544,6,2026-02-05 15:00:51.386437
2025-01-01,2,30,5,3545,2,2026-02-05 15:00:51.387438
2025-01-01,2,31,5,11900,1,2026-02-05 15:00:51.387438
2025-01-01,2,32,2,3386,2,2026-02-05 15:00:51.388437
2025-01-01,2,33,4,9136,1,2026-02-05 15:00:51.388437
2025-01-01,2,34,4,9736,2,2026-02-05 15:00:51.389442
2025-01-01,2,35,4,4972,4,2026-02-05 15:00:51.389442
2025-01-01,2,36,8,36544,2,2026-02-05 15:00:51.389442
2025-01-01,2,37,3,5322,3,2026-02-05 15:00:51.390436
2025-01-01,2,38,7,18046,3,2026-02-05 15:00:51.390436
2025-01-01,2,39,7,4424,7,2026-02-05 15:00:51.391438
2025-01-01,2,40,4,8284,4,2026-02-05 15:00:51.391438
2025-01-01,2,41,4,10076,1,2026-02-05 15:00:51.392438
2025-01-01,2,42,4,13520,1,2026-02-05 15:00:51.392438
2025-01-01,2,43,7,24199,2,2026-02-05 15:00:51.393439
2025-01-01,2,44,2,4284,2,2026-02-05 15:00:51.393439
2025-01-01,2,45,2,1350,1,2026-02-05 15:00:51.394438
2025-01-01,2,46,4,16540,1,2026-02-05 15:00:51.394438
2025-01-01,2,47,2,4738,1,2026-02-05 15:00:51.395453
2025-01-01,2,48,3,1695,1,2026-02-05 15:00:51.395453
2025-01-01,2,49,6,26568,6,2026-02-05 15:00:51.396438
2025-01-01,2,50,4,16508,1,2026-02-05 15:00:51.396438
2025-01-01,3,1,5,21900,5,2026-02-05 15:00:51.397438
2025-01-01,3,2,7,32781,2,2026-02-05 15:00:51.397438
2025-01-01,3,3,6,27816,2,2026-02-05 15:00:51.398440
